Solicitud,Fecha,Link,Observaciones,Observaciones 1,Status,URL
"Nombre de local: ChickenMuuID Restaurante-Local: 1725976816242427-00001

",23 de abril de 2025,https://toteat-espacio.slack.com/archives/C06EJHC9NHL/p1745448521444629,Error de orden de menú,,Listo,
"Nombre de local: Kaos CompanyID Restaurante-Local: 1350008881457848-00001

",23 de abril de 2025,https://toteat-espacio.slack.com/archives/C06EJHC9NHL/p1745431504693899,"error envio de menu Rappi, parameto de maximo vacio",,En progreso,
"Sushiman calle 45 (Colombia)    PadreID Restaurante-Local: 1365369833085548-1 (Padre en Rappi) afecta tambien al local 2 y 3

",11 de abril de 2025,https://toteat-espacio.slack.com/archives/C06EJHC9NHL/p1744405071173889,orden de menu,,En progreso,
"Nombre de local: UNIGEAARID Restaurante-Local: 1019919735656842-1

",13 de mayo de 2025,https://toteat-espacio.slack.com/archives/C06EJHC9NHL/p1747164546740349,pedidosya,,Listo,
"Nombre de local: UNIGEAARID Restaurante-Local: 1019919735656842-00001

",15 de mayo de 2025,https://toteat-espacio.slack.com/archives/C06EJHC9NHL/p1747331102549689,kiosko,,Listo,
"Nombre de local: Uso General (sin embargo hice la prueba con Unigeaar)ID Restaurante-Local: 1019919735656842-1

",16 de mayo de 2025,https://toteat-espacio.slack.com/archives/C06EJHC9NHL/p1747412203006839,,,Sin empezar,
"Nombre de local: 1019919735656842ID Restaurante-Local: 1Cliente Estrategico: GRUPO JAKA

",16 de mayo de 2025,https://toteat-espacio.slack.com/archives/C06EJHC9NHL/p1747417312744089,% y caracteres en Rappi,,Sin empezar,
Caso de Tataki,23 de mayo de 2025,https://toteat-espacio.slack.com/archives/C06EJHC9NHL/p1748015716687549?thread_ts=1745945634.297639&cid=C06EJHC9NHL,,"esta en QA, Trini indico prioridad",En progreso,
Caso de DIdi efectivo     Nonna Mia y Sushiman,,https://toteat-espacio.slack.com/archives/C050G03E5U0/p1746720510136269,"https://toteat-espacio.slack.com/archives/C03PV1V9XFX/p1747595663038819


https://toteat-espacio.slack.com/archives/C03PV1V9XFX/p1747243736595859","aun no esta desplegado
Tomado por Sergio",En progreso,https://toteat-espacio.slack.com/archives/C06EJHC9NHL/p1748549941664049
Caso de PedidosYa Pago voucher,30 de mayo de 2025,https://toteat-espacio.slack.com/archives/C06EJHC9NHL/p1748633306992919,,Tomado por Sergio,En progreso,
"Nombre de local: Bar Nacional ÑuñoaID Restaurante-Local: 5780242449956864-1

",6 de junio de 2025,https://toteat-espacio.slack.com/archives/C06EJHC9NHL/p1749249226816239,,Nico ya lo subio a produccion,Listo,
"Nombre de local: American Burger HouseID Restaurante-Local: 1318389421324983-00001

",23 de junio de 2025,https://toteat-espacio.slack.com/archives/C06EJHC9NHL/p1750718297331629,,caso de jen peya,Sin empezar,