Fase,Contenido,Plantilla,Status,Video
"Fase 1: 
Fundamentos de Integraciones y APIs","Módulo 1: Integraciones (conceptos, funciones, componentes).",,Not started,
Fase 2: Capacitación Técnica en APIs,"Módulo 3: API Delivery (plataformas, configuración, validación).",,Not started,
Fase 3: Integraciones con Partners,"Módulo 4: UberEats.
Configuración de la api",,Not started,
Fase 2: Capacitación Técnica en APIs,"Módulo 9: API Estándar (uso, configuración, certificación, activación/inactivación).",,Not started,
"Fase 1: 
Fundamentos de Integraciones y APIs","Módulo 2: API (qué es, configuración, activación/inactivación, API Delivery vs. Estándar).",,Not started,
Fase 3: Integraciones con Partners,"Módulo 5: Rappi.
Configuración de la api",,Not started,
Fase 3: Integraciones con Partners,"Módulo 6: PedidosYa.
Configuración de la api",,Not started,
Fase 3: Integraciones con Partners,"Módulo 7: Justo.
Configuración de la api",,Not started,
Fase 3: Integraciones con Partners,"Módulo 8: Didi.
Configuración de la api",,Not started,
Fase 3: Integraciones con Partners,"Módulo 9: E-commerce.
Configuracion de Api",,Not started,
Fase 3: Integraciones con Partners,"Módulo 5: Rappi.
Proceso de activación y verificación de status.",,Not started,
Fase 3: Integraciones con Partners,"Módulo 4: UberEats.
Proceso de activacion y verificacion de status.",,Not started,
Fase 3: Integraciones con Partners,"Módulo 4: UberEats.
Proceso de envio de menú y validaciones básicas para un buen funcionamiento.",,Not started,
Fase 3: Integraciones con Partners,"Módulo 4: UberEats.
Datos para la activacion/desactivacion.",,Not started,
Fase 3: Integraciones con Partners,"Módulo 5: Rappi.
Datos para la activacion/desactivacion.",,Not started,
Fase 3: Integraciones con Partners,"Módulo 5: Rappi.
Proceso de envió de menú y validaciones básicas para un buen funcionamiento.",,Not started,
Fase 3: Integraciones con Partners,"Módulo 6: PedidosYa.
Datos para la activacion/desactivacion.",,Not started,
Fase 3: Integraciones con Partners,"Módulo 6: PedidosYa.
Proceso de activación y verificación de status.",,Not started,
Fase 3: Integraciones con Partners,"Módulo 6: PedidosYa.
Proceso de envió de menú y validaciones básicas para un buen funcionamiento.",,Not started,
Fase 3: Integraciones con Partners,"Módulo 7: Justo.
Proceso de envió de menú y validaciones básicas para un buen funcionamiento.",,Not started,
Fase 3: Integraciones con Partners,"Módulo 7: Justo.
Datos para la activacion/desactivacion.",,Not started,
Fase 3: Integraciones con Partners,"Módulo 7: Justo.
Proceso de activación y verificación de status.",,Not started,
Fase 3: Integraciones con Partners,"Módulo 8: Didi.
Proceso de envió de menú y validaciones básicas para un buen funcionamiento.",,Not started,
Fase 3: Integraciones con Partners,"Módulo 8: Didi.
Datos para la activacion/desactivacion.",,Not started,
Fase 3: Integraciones con Partners,"Módulo 8: Didi.
Proceso de activación y verificación de status.",,Not started,
Fase 3: Integraciones con Partners,"Módulo 9: E-commerce.
Consultas",,Not started,