Titulo,Comentarios,Plataforma,Status,Ticket,Toteat,URL
"Validar el flujo del voucher Peya ",,,Sin empezar,,Legacy,
Caso de Voucher,pendiente de aprobación por Trini. Gae esta en produccion separacion de descuentos de Voucher con los otros. Falta New,Peya,En progreso,,New,https://toteat-espacio.slack.com/archives/C06EJHC9NHL/p1748633306992919
Id de ordenes en la factura,,,Sin empezar,,,
"Cash Collection ",ya esta en producción. Debe estar funcionando,Peya,Produccion,,New,https://toteat-espacio.slack.com/archives/C06EJHC9NHL/p1756505133695299
Dk Error en new,El caso esta mapeado pero no se ha generado ticket,Todas,mapeado pero sin ticket,,New," https://toteat-espacio.slack.com/archives/C06EJHC9NHL/p1753905036458329"
Caso de Sushiblue,Descuadres por el valor de delivery en peya AUn persiste,Peya,En progreso,Esta en QA,Legacy,
Caso de DanubioAzul Legacy,https://www.notion.soCosto de delivery afectando en el reporte de caja,Justo,Produccion,,Legacy,https://toteat-espacio.slack.com/archives/C082BH7D7DM/p1756508337611029
Reportes nombre de los clientes,https://toteat-espacio.slack.com/archives/C06EJHC9NHL/p1757962674759279,,Sin empezar,,,
Boton Rappi envioo de menu,"ya esta desarrollado


ambiente para probar 1846979316784857-1",,QA,,New,falta pasarlo a produccion
"Ordenamiento de los extras, escalado a new pero hacer enfasis en el otro canal sobre el efecto sino se corrige",,,Sin empezar,,New,
Caso de Danubio  New,https://www.notion.soCosto de delivery afectando en el reporte de caja,Justo,Produccion,,New,https://toteat-espacio.slack.com/archives/C06EJHC9NHL/p1740776160252279