Fecha de revision,Api,Archivos multimedia,Canal de solicitud,Fecha de reporte,Id Rappi,Id Rest-Id Local,Listo,Nombre de Api,Nombre del restaurante,Nombre en Rappi.,Observaciones,Pais
27-06-2024,1302,,Mary,27-06-2024,900097687,5629364783546368-00001,Yes,RAPPI 2.0 | RAFFAELLA CUCINA NAPOLETANA ( única),1 : Raffaella Cucina Napoletana,Raffaella Pizza,Solicitado por Mary,cl
4-7-2024,1301,,Correo,4-7-2024,900041357,6570015284002816-00001,Yes,Integración Rappi,1 : Tao Veg,Tao Veg - Las Condes,Correo error,cl
23-07-2024,1301,,Mary,23-07-2024,133959,5584859246100480-00001,No,Delicias tequeño y mas | Rappi,Delicias de Oriente,Delicias de Oriente,Se verifico y esta enviando correcto,ar
24-07-2024,1301,,Correo,24-07-2024,900090400,5818371589406720-00001,Yes,Kbross burger | Rappi (U),Kbross burger,Kbross Burger,Se hizo envió  de menú y se evidencia ok,cl
31-07-2024,1301,,Correo,30-07-2024,900090837,5951117129285632-00001,Yes,La definitiva pizzería | Rappi (U),La Definitiva Pizzeria,Pizza la Definitiva,Se envio y se valido que envia correcto en este momento,cl
31-07-2024,1301,https://docs.google.com/document/d/16Frw-6nlFI6fc4K2P1gN7_9wM0sAF-TcEIfExcHcQaQ/edit,Correo,30-07-2024,133959,5584859246100480-00001,Yes,Delicias tequeño y mas | Rappi, Delicias de Oriente,Delicias de Oriente,Se envio y se evidencia envio correcto,ar
31-07-2024,1301,,Correo,30-07-2024,900037738,6506330334167040-00001,Yes,Rappi,Street Wrap Con-con,Street Wrap Concon,Se envio y se evidencia envio correcto,cl
14-08-2024,1301,,Mary,14-08-2024,900021365,6187631557869568-00003,Yes,Rappi - Rishtedar Vitacura PADRE, Rishtedar Vitacura,Rishtedar Vitacura,se corrigio,cl
14-08-2024,1301,,Mary,14-08-2024,900099034,4660067532144640-00001,Yes,Primos Smash Bella Vista - Rappi / Hija,Primos Smash Bella Vista,Primos Smash,se corrigio,cl
14-08-2024,1301,,Mary,14-08-2024,900030708,5554890030579712-00001,Yes,Rappi | Testardos,Testardos Spa,Testardos Pizza,se corrigio,cl
20-08-2024,1301,,Mary,20-08-2024,900030708,5554890030579712-00001,Yes,Rappi | Testardos,1 : Testardos Spa,Testardos Pizza,se corrigio,cl
3-09-2024,1301,,Mary,3-09-2024,900016000,5676143667707904-00002,Yes,Rappi - Fajre Recoleta, Fajre Recoleta,Fajre Comida Árabe Recoleta,se corrigio,cl
4-9-2024,1301,,Mary,4-9-2024,900095312,6703536256188416-00001,Yes,No Way! Cookies | Rappi, : No Way! Cookies,No Way! Cookies,estaba la integracion inactiva,cl
03-09-2024,1301,,,04-09-2024,900099034,4660067532144640-00001,No,Primos Smash Bella Vista - Rappi / Hija,Primos Smash Bella Vista,Primos Smash,,cl