Tema,Archivos y multimedia,Fecha,Selección
Caso las Cujas,,15 de febrero de 2025,
Designacion de agente para revision de codigo remote,,15 de enero de 2025,
Designar agente para la asignación de chats en horario nocturno,,15 de enero de 2025,
Promover el uso de NOTION,,15 de enero de 2025,
Dejar notas con un pequeño resumen,,15 de enero de 2025,
Tomar los chats del soporte,,15 de enero de 2025,
,,,
,,,
,,,
Solicitud de vacaciones por medio de buk & correo,,15 de enero de 2025,
,,,
,,,
,,,
Solitud de cambio de turno por medio de correo,,15 de enero de 2025,
Recordar el protocolo de caidas / intermitencias,,15 de enero de 2025,
,,,
,,,
Etiquetar los chats,,15 de enero de 2025,
,,,